周次v>10,时段v>10,程度v>10,valuev>10,周次轴,时段轴,程度轴
0,0,1,1418.0,周日,凌晨,敷衍
0,0,2,11.0,周一,早晨,普通
0,1,1,1425.0,周二,上午,认真
0,2,0,68.0,周三,中午,
0,2,1,1311.0,周四,下午,
0,2,2,59.0,周五,晚上,
0,3,0,36.0,周六,,
0,3,1,1360.0,,,
0,3,2,42.0,,,
0,4,0,82.0,,,
0,4,1,1273.0,,,
0,4,2,83.0,,,
0,5,0,239.0,,,
0,5,1,917.0,,,
0,5,2,282.0,,,
1,0,1,1677.0,,,
1,1,0,28.0,,,
1,1,1,1658.0,,,
1,2,0,65.0,,,
1,2,1,1606.0,,,
1,2,2,19.0,,,
1,3,0,77.0,,,
1,3,1,1446.0,,,
1,3,2,167.0,,,
1,4,0,112.0,,,
1,4,1,1205.0,,,
1,4,2,373.0,,,
1,5,0,150.0,,,
1,5,1,1085.0,,,
1,5,2,455.0,,,
2,0,1,1037.0,,,
2,1,0,15.0,,,
2,1,1,1022.0,,,
2,1,2,12.0,,,
2,2,0,45.0,,,
2,2,1,932.0,,,
2,2,2,72.0,,,
2,3,0,48.0,,,
2,3,1,948.0,,,
2,3,2,53.0,,,
2,4,0,87.0,,,
2,4,1,835.0,,,
2,4,2,127.0,,,
2,5,0,129.0,,,
2,5,1,674.0,,,
2,5,2,246.0,,,
3,0,1,858.0,,,
3,1,1,852.0,,,
3,2,0,37.0,,,
3,2,1,780.0,,,
3,2,2,46.0,,,
3,3,0,40.0,,,
3,3,1,785.0,,,
3,3,2,38.0,,,
3,4,0,65.0,,,
3,4,1,723.0,,,
3,4,2,75.0,,,
3,5,0,111.0,,,
3,5,1,576.0,,,
3,5,2,176.0,,,
4,0,1,722.0,,,
4,1,0,14.0,,,
4,1,1,712.0,,,
4,2,0,35.0,,,
4,2,1,651.0,,,
4,2,2,42.0,,,
4,3,0,32.0,,,
4,3,1,671.0,,,
4,3,2,25.0,,,
4,4,0,60.0,,,
4,4,1,607.0,,,
4,4,2,61.0,,,
4,5,0,98.0,,,
4,5,1,477.0,,,
4,5,2,153.0,,,
5,0,1,719.0,,,
5,1,0,12.0,,,
5,1,1,700.0,,,
5,2,0,38.0,,,
5,2,1,651.0,,,
5,2,2,32.0,,,
5,3,0,16.0,,,
5,3,1,681.0,,,
5,3,2,24.0,,,
5,4,0,54.0,,,
5,4,1,622.0,,,
5,4,2,45.0,,,
5,5,0,110.0,,,
5,5,1,471.0,,,
5,5,2,140.0,,,
6,0,1,905.0,,,
6,1,1,906.0,,,
6,2,0,37.0,,,
6,2,1,841.0,,,
6,2,2,41.0,,,
6,3,0,45.0,,,
6,3,1,833.0,,,
6,3,2,41.0,,,
6,4,0,72.0,,,
6,4,1,786.0,,,
6,4,2,61.0,,,
6,5,0,135.0,,,
6,5,1,619.0,,,
6,5,2,165.0,,,
